Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Flag,PE.SL.Time,PE.PNL
2024-04-02,Tuesday,4,09:20:00,73848.69,73900CE,426.65,568.05,357.6,442.35,True,2024-04-02 09:32:00,-90.66,73900PE,418.25,440.1,300.4,310.1,False,,102.92
2024-04-03,Wednesday,3,09:20:00,73586.98,73600CE,356.3,717.7,318.5,530.8,True,2024-04-03 10:03:00,-75.71,73600PE,320.25,348.1,132.5,181.55,False,,134.7
2024-04-04,Thursday,2,09:20:00,74349.27,74300CE,305.0,359.55,87.95,259.95,False,,41.24,74300PE,273.0,888.15,195.0,202.05,True,2024-04-04 09:22:00,-58.01
2024-04-05,Friday,1,09:20:00,73964.72,74000CE,208.25,331.95,138.7,248.75,True,2024-04-05 09:25:00,-44.25,74000PE,237.75,246.55,0.05,0.1,False,,234.68
2024-04-08,Monday,4,09:20:00,74424.81,74400CE,482.05,705.75,478.75,630.15,True,2024-04-08 09:37:00,-102.44,74400PE,451.6,458.0,261.8,294.25,False,,151.71
2024-04-09,Tuesday,3,09:20:00,74891.51,74900CE,365.75,458.5,226.95,251.85,True,2024-04-09 10:03:00,-77.72,74900PE,396.05,477.7,253.35,406.6,True,2024-04-09 14:15:00,-84.16
2024-04-10,Wednesday,2,09:20:00,74828.6,74800CE,308.65,403.1,271.25,318.25,True,2024-04-10 09:51:00,-65.59,74800PE,302.0,303.85,151.0,166.55,False,,131.67
2024-04-12,Friday,1,09:20:00,74881.03,74800CE,181.3,217.6,0.05,0.1,True,2024-04-12 09:27:00,-38.53,74800PE,150.35,999.95,114.6,555.5,True,2024-04-12 09:41:00,-31.95
2024-04-15,Monday,4,09:20:00,73604.07,73700CE,575.25,659.95,358.15,370.85,False,,197.21,73700PE,534.55,617.1,351.8,527.0,False,,0.87
2024-04-16,Tuesday,3,09:20:00,72942.56,73000CE,437.7,509.95,275.0,400.0,False,,32.23,73000PE,412.3,533.25,308.75,366.9,True,2024-04-16 13:15:00,-87.61
2024-04-18,Thursday,2,09:20:00,73218.21,73300CE,262.6,342.1,46.0,63.95,True,2024-04-18 12:18:00,-55.8,73300PE,313.15,856.75,202.95,706.3,True,2024-04-18 09:30:00,-66.54
2024-04-19,Friday,1,09:20:00,71875.12,71900CE,308.8,1217.55,271.85,1180.8,True,2024-04-19 09:23:00,-65.62,71900PE,271.5,500.0,0.05,0.1,True,2024-04-19 09:21:00,-57.69
2024-04-22,Monday,5,09:20:00,73472.16,73400CE,524.45,665.0,458.1,663.5,True,2024-04-22 15:12:00,-111.45,73400PE,494.9,606.55,332.75,333.9,True,2024-04-22 09:45:00,-105.17
